%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1782457856085830450,110,1782457856085830450,steamvr_world,1.0640344619750977,0.7386327981948853,0.6119844913482666,0.431746135496514,0.5636361815403834,-0.5141980583366331,0.4811547424116676
1782457856119146347,111,1782457856119146347,steamvr_world,1.0640344619750977,0.7386327981948853,0.6119844913482666,0.431746135496514,0.5636361815403834,-0.5141980583366331,0.4811547424116676
1782457856152491092,112,1782457856152491092,steamvr_world,1.064803123474121,0.7385871410369873,0.6116318106651306,0.43250812512833803,0.5634815654415511,-0.5140623991132196,0.4807963154221022
1782457856185816287,113,1782457856185816287,steamvr_world,1.0655213594436646,0.7384263873100281,0.6111849546432495,0.4332210809171004,0.563254130621123,-0.5139513993506449,0.4805395285434654
1782457856219142436,114,1782457856219142436,steamvr_world,1.0655213594436646,0.7384263873100281,0.6111849546432495,0.4332210809171004,0.563254130621123,-0.5139513993506449,0.4805395285434654
1782457856252482652,115,1782457856252482652,steamvr_world,1.0663275718688965,0.7381051778793335,0.6105911135673523,0.43377150595975517,0.5630266968494413,-0.5140512069623872,0.4802026404266499
1782457856285847902,116,1782457856285847902,steamvr_world,1.0671753883361816,0.7378557324409485,0.6100097894668579,0.4338757423145357,0.5625807482535439,-0.5145717423109282,0.4800736026283775
1782457856319155931,117,1782457856319155931,steamvr_world,1.0671753883361816,0.7378557324409485,0.6100097894668579,0.4338757423145357,0.5625807482535439,-0.5145717423109282,0.4800736026283775
1782457856352487564,118,1782457856352487564,steamvr_world,1.068090796470642,0.737528383731842,0.609586775302887,0.4339535277225588,0.5624233286710306,-0.5146179525029377,0.4801382072960121
1782457856385818958,119,1782457856385818958,steamvr_world,1.0691335201263428,0.7372415065765381,0.6092856526374817,0.43381960368737593,0.561514438917139,-0.5157036723779206,0.4801581079603102
1782457856419143199,120,1782457856419143199,steamvr_world,1.0691335201263428,0.7372415065765381,0.6092856526374817,0.43381960368737593,0.561514438917139,-0.5157036723779206,0.4801581079603102
1782457856452478885,121,1782457856452478885,steamvr_world,1.0701977014541626,0.7369746565818787,0.6090396046638489,0.4335945265612956,0.5608187656477753,-0.5163479452298584,0.48048194356322577
1782457856485816001,122,1782457856485816001,steamvr_world,1.07126784324646,0.736731231212616,0.6087363958358765,0.4339593243316723,0.5611731575474674,-0.516081389342179,0.48002499064991405
1782457856519144296,123,1782457856519144296,steamvr_world,1.07126784324646,0.736731231212616,0.6087363958358765,0.4339593243316723,0.5611731575474674,-0.516081389342179,0.48002499064991405
1782457856552469253,124,1782457856552469253,steamvr_world,1.0723868608474731,0.7365307211875916,0.6082795262336731,0.43351687006925865,0.5613631074015938,-0.516232824720506,0.48003984802812727
1782457856585813760,125,1782457856585813760,steamvr_world,1.0738024711608887,0.7363887429237366,0.6077259182929993,0.4336136216182912,0.5614907991842956,-0.5162919219767075,0.479739471880361
1782457856619142770,126,1782457856619142770,steamvr_world,1.0738024711608887,0.7363887429237366,0.6077259182929993,0.4336136216182912,0.5614907991842956,-0.5162919219767075,0.479739471880361
1782457856652461767,127,1782457856652461767,steamvr_world,1.0738024711608887,0.7363887429237366,0.6077259182929993,0.4336136216182912,0.5614907991842956,-0.5162919219767075,0.479739471880361
1782457856685810804,128,1782457856685810804,steamvr_world,1.077298879623413,0.7362664937973022,0.606696605682373,0.4337148947718166,0.5612736189273289,-0.5162744961129688,0.4799207845182281
1782457856719139099,129,1782457856719139099,steamvr_world,1.077298879623413,0.7362664937973022,0.606696605682373,0.4337148947718166,0.5612736189273289,-0.5162744961129688,0.4799207845182281
1782457856752470016,130,1782457856752470016,steamvr_world,1.077298879623413,0.7362664937973022,0.606696605682373,0.4337148947718166,0.5612736189273289,-0.5162744961129688,0.4799207845182281
1782457856785816431,131,1782457856785816431,steamvr_world,1.0820822715759277,0.7358570098876953,0.6060826778411865,0.43425345069037524,0.5597808995330702,-0.5171937257153898,0.48018739588007003
1782457856819144248,132,1782457856819144248,steamvr_world,1.0820822715759277,0.7358570098876953,0.6060826778411865,0.43425345069037524,0.5597808995330702,-0.5171937257153898,0.48018739588007003
1782457856852473258,133,1782457856852473258,steamvr_world,1.0820822715759277,0.7358570098876953,0.6060826778411865,0.43425345069037524,0.5597808995330702,-0.5171937257153898,0.48018739588007003
